"Time","count(kube_pod_status_phase{phase=""Running"", namespace=""default""})"
2025-12-07 21:41:00,3
2025-12-07 21:41:30,3
2025-12-07 21:42:00,3
2025-12-07 21:42:30,3
2025-12-07 21:43:00,3
2025-12-07 21:43:30,3
2025-12-07 21:44:00,3
2025-12-07 21:44:30,3
2025-12-07 21:45:00,3
2025-12-07 21:45:30,5
2025-12-07 21:46:00,4
2025-12-07 21:46:30,3
2025-12-07 21:47:00,3
2025-12-07 21:47:30,3
2025-12-07 21:48:00,3
2025-12-07 21:48:30,3
2025-12-07 21:49:00,3
2025-12-07 21:49:30,3
2025-12-07 21:50:00,3
2025-12-07 21:50:30,3
2025-12-07 21:51:00,3
2025-12-07 21:51:30,3
2025-12-07 21:52:00,3
2025-12-07 21:52:30,3
2025-12-07 21:53:00,3
2025-12-07 21:53:30,3
2025-12-07 21:54:00,3
2025-12-07 21:54:30,3
2025-12-07 21:55:00,3
2025-12-07 21:55:30,3
2025-12-07 21:56:00,3
2025-12-07 21:56:30,3
2025-12-07 21:57:00,3
2025-12-07 21:57:30,3
2025-12-07 21:58:00,3
2025-12-07 21:58:30,3
2025-12-07 21:59:00,3
2025-12-07 21:59:30,3
2025-12-07 22:00:00,3
2025-12-07 22:00:30,3
2025-12-07 22:01:00,3
2025-12-07 22:01:30,3
2025-12-07 22:02:00,3
2025-12-07 22:02:30,3
2025-12-07 22:03:00,3
2025-12-07 22:03:30,3
2025-12-07 22:04:00,3
2025-12-07 22:04:30,3
2025-12-07 22:05:00,3
2025-12-07 22:05:30,3
2025-12-07 22:06:00,3
2025-12-07 22:06:30,3
2025-12-07 22:07:00,3
2025-12-07 22:07:30,3
2025-12-07 22:08:00,3
2025-12-07 22:08:30,3
2025-12-07 22:09:00,3
2025-12-07 22:09:30,3
2025-12-07 22:10:00,3
2025-12-07 22:10:30,3
2025-12-07 22:11:00,3
2025-12-07 22:11:30,3
2025-12-07 22:12:00,3
2025-12-07 22:12:30,3
2025-12-07 22:13:00,3
2025-12-07 22:13:30,3
2025-12-07 22:14:00,3
2025-12-07 22:14:30,3
2025-12-07 22:15:00,3
2025-12-07 22:15:30,3
2025-12-07 22:16:00,3
2025-12-07 22:16:30,3
2025-12-07 22:17:00,3
2025-12-07 22:17:30,3
2025-12-07 22:18:00,3
2025-12-07 22:18:30,3
2025-12-07 22:19:00,3
2025-12-07 22:19:30,3
2025-12-07 22:20:00,3
2025-12-07 22:20:30,3
2025-12-07 22:21:00,3
2025-12-07 22:21:30,3
2025-12-07 22:22:00,3
2025-12-07 22:22:30,3
2025-12-07 22:23:00,3
2025-12-07 22:23:30,3
2025-12-07 22:24:00,3
2025-12-07 22:24:30,3
2025-12-07 22:25:00,3
2025-12-07 22:25:30,3
2025-12-07 22:26:00,3
2025-12-07 22:26:30,3
2025-12-07 22:27:00,3
2025-12-07 22:27:30,3
2025-12-07 22:28:00,3
2025-12-07 22:28:30,3
2025-12-07 22:29:00,3
2025-12-07 22:29:30,3
2025-12-07 22:30:00,3
2025-12-07 22:30:30,3
2025-12-07 22:31:00,3
2025-12-07 22:31:30,3
2025-12-07 22:32:00,3
